Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,44.919998,45.139999,44.660000,44.740002,44.740002,2719700
2017-10-24,44.700001,45.029999,44.650002,44.820000,44.820000,2506400
2017-10-25,44.660000,44.660000,43.669998,43.709999,43.709999,3448500
2017-10-26,43.919998,44.680000,43.820000,44.419998,44.419998,1834100
2017-10-27,44.520000,44.520000,43.860001,44.009998,44.009998,1870100
2017-10-30,43.740002,43.950001,43.240002,43.520000,43.520000,2063100
2017-10-31,43.709999,44.570000,43.560001,44.419998,44.419998,2485600
2017-11-01,44.740002,44.900002,44.400002,44.529999,44.529999,1940600
2017-11-02,44.549999,44.610001,43.939999,44.250000,44.250000,2112200
2017-11-03,44.389999,44.490002,43.910000,44.240002,44.240002,2057800
2017-11-06,44.070000,45.119999,44.020000,45.000000,45.000000,2541300
2017-11-07,45.000000,45.070000,44.410000,44.650002,44.650002,1940500
2017-11-08,44.639999,45.500000,44.480000,45.330002,45.330002,1567100
2017-11-09,46.150002,47.200001,45.930000,46.299999,46.299999,3625800
2017-11-10,46.189999,46.700001,46.099998,46.340000,46.340000,1649300
2017-11-13,46.209999,46.619999,45.930000,46.000000,46.000000,2328700
2017-11-14,45.950001,46.139999,45.590000,45.619999,45.619999,2253800
2017-11-15,45.450001,46.090000,45.240002,45.820000,45.820000,4393500
2017-11-16,51.410000,53.889999,51.310001,53.110001,53.110001,12874300
2017-11-17,53.029999,54.720001,52.500000,52.950001,52.950001,5664500
2017-11-20,52.500000,54.810001,52.459999,54.730000,54.730000,4373500
2017-11-21,54.549999,55.500000,54.439999,55.090000,55.090000,2753290
